timestamp,cpu_percent,ram_percent,cpu_temp,gpu_temp,cpu_limit,cpu_temp_limit,gpu_temp_limit,alert_main
2025-11-28 14:15:38,68.3,81.1,,,100.0,80.0,75.0,0
2025-11-28 14:15:39,72.9,81.5,,,100.0,80.0,75.0,0
2025-11-28 14:15:40,70.0,81.9,,,100.0,80.0,75.0,0
2025-11-28 14:15:41,66.2,82.2,,,100.0,80.0,75.0,0
2025-11-28 14:15:42,69.4,81.9,,,100.0,80.0,75.0,0
2025-11-28 14:15:43,82.3,81.9,,,100.0,80.0,75.0,0
2025-11-28 14:15:44,86.4,81.9,,,100.0,80.0,75.0,0
2025-11-28 14:15:45,80.1,82.1,,,100.0,80.0,75.0,0
2025-11-28 14:15:46,90.4,82.2,,,100.0,80.0,75.0,0
2025-11-28 14:15:47,84.8,81.9,,,100.0,80.0,75.0,0
2025-11-28 14:15:48,86.6,81.7,,,100.0,80.0,75.0,0
2025-11-28 14:15:49,81.7,81.9,,,100.0,80.0,75.0,0
2025-11-28 14:15:50,72.2,81.9,,,100.0,80.0,75.0,0
2025-11-28 14:15:52,69.6,81.9,,,100.0,80.0,75.0,0
2025-11-28 14:15:53,66.5,81.7,,,100.0,80.0,75.0,0
2025-11-28 14:15:54,68.0,81.6,,,100.0,80.0,75.0,0
2025-11-28 14:15:55,68.3,81.7,,,100.0,80.0,75.0,0
2025-11-28 14:15:56,80.7,81.9,,,100.0,80.0,75.0,0
2025-11-28 14:15:57,74.1,81.9,,,100.0,80.0,75.0,0
2025-11-28 14:15:58,67.0,81.9,,,100.0,80.0,75.0,0
2025-11-28 14:15:59,67.6,82.0,,,100.0,80.0,75.0,0
2025-11-28 14:16:00,81.4,81.9,,,100.0,80.0,75.0,0
2025-11-28 14:16:01,75.0,82.0,,,100.0,80.0,75.0,0
2025-11-28 14:16:02,66.3,81.8,,,100.0,80.0,75.0,0
2025-11-28 14:16:03,60.4,81.9,,,100.0,80.0,75.0,0
2025-11-28 14:16:04,53.3,81.9,,,100.0,80.0,75.0,0
2025-11-28 14:16:05,45.2,81.8,,,100.0,80.0,75.0,0
2025-11-28 14:16:06,67.3,82.2,,,100.0,80.0,75.0,0
2025-11-28 14:16:07,67.2,82.0,,,100.0,80.0,75.0,0
2025-11-28 14:16:08,71.9,82.4,,,100.0,80.0,75.0,0
2025-11-28 14:16:09,69.2,82.4,,,100.0,80.0,75.0,0
2025-11-28 14:16:10,57.0,82.6,,,100.0,80.0,75.0,0
2025-11-28 14:16:11,68.9,82.0,,,100.0,80.0,75.0,0
2025-11-28 14:16:12,75.2,80.5,,,100.0,80.0,75.0,0
2025-11-28 14:16:14,74.0,79.7,,,100.0,80.0,75.0,0
2025-11-28 14:16:15,71.5,80.0,,,100.0,80.0,75.0,0
2025-11-28 14:16:16,76.8,80.3,,,100.0,80.0,75.0,0
2025-11-28 14:16:17,69.6,81.1,,,100.0,80.0,75.0,0
2025-11-28 14:16:18,46.0,80.9,,,100.0,80.0,75.0,0
2025-11-28 14:16:19,42.6,80.8,,,100.0,80.0,75.0,0
2025-11-28 14:16:20,38.3,80.7,,,100.0,80.0,75.0,0
2025-11-28 14:16:21,45.9,80.9,,,100.0,80.0,75.0,0
2025-11-28 14:16:22,48.6,80.8,,,100.0,80.0,75.0,0
2025-11-28 14:16:23,39.9,80.7,,,100.0,80.0,75.0,0
2025-11-28 14:16:24,57.0,80.8,,,100.0,80.0,75.0,0
2025-11-28 14:16:25,58.4,80.6,,,100.0,80.0,75.0,0
2025-11-28 14:16:26,58.3,80.7,,,100.0,80.0,75.0,0
2025-11-28 14:16:27,72.8,81.1,,,100.0,80.0,75.0,0
2025-11-28 14:16:28,78.1,81.1,,,100.0,80.0,75.0,0
