timestamp,cpu_percent,ram_percent,gpu_load,cpu_temp,gpu_temp,cpu_limit,cpu_temp_limit,gpu_temp_limit,alert_main
2025-11-28 15:15:18,48.6,85.7,,97000.0,,80.0,75.0,80.0,1
2025-11-28 15:15:19,47.1,85.7,,97000.0,,80.0,75.0,80.0,1
2025-11-28 15:15:21,42.6,85.8,,97000.0,,80.0,75.0,80.0,1
2025-11-28 15:15:22,55.9,85.8,,97000.0,,80.0,75.0,80.0,1
2025-11-28 15:15:23,50.7,85.8,,97000.0,,80.0,75.0,80.0,1
2025-11-28 15:15:24,70.0,85.8,,97000.0,,80.0,75.0,80.0,1
2025-11-28 15:15:25,85.1,85.9,,97000.0,,80.0,75.0,80.0,1
2025-11-28 15:15:26,66.9,85.9,,97000.0,,80.0,75.0,80.0,1
2025-11-28 15:15:28,73.8,85.9,,97000.0,,80.0,75.0,80.0,1
2025-11-28 15:15:29,69.6,85.8,,97000.0,,80.0,75.0,80.0,1
2025-11-28 15:15:30,75.7,85.8,,97000.0,,80.0,75.0,80.0,1
2025-11-28 15:15:31,77.2,85.9,,97000.0,,80.0,75.0,80.0,1
2025-11-28 15:15:33,57.0,85.9,,97000.0,,80.0,75.0,80.0,1
2025-11-28 15:15:34,52.5,86.3,,97000.0,,80.0,75.0,80.0,1
2025-11-28 15:15:35,66.0,86.4,,97000.0,,80.0,75.0,80.0,1
2025-11-28 15:15:37,94.2,86.0,,97000.0,,80.0,75.0,80.0,1
2025-11-28 15:15:38,82.9,85.8,,97000.0,,80.0,75.0,80.0,1
2025-11-28 15:15:39,72.7,85.8,,97000.0,,80.0,75.0,80.0,1
2025-11-28 15:15:41,95.7,80.4,,97000.0,,80.0,75.0,80.0,1
2025-11-28 15:15:42,69.9,75.9,,97000.0,,80.0,75.0,80.0,1
2025-11-28 15:15:43,73.4,76.2,,97000.0,,80.0,75.0,80.0,1
2025-11-28 15:15:44,66.7,76.0,,97000.0,,80.0,75.0,80.0,1
2025-11-28 15:15:46,96.5,76.1,,97000.0,,80.0,75.0,80.0,1
2025-11-28 15:15:47,100.0,76.5,,97000.0,,80.0,75.0,80.0,1
2025-11-28 15:15:49,100.0,77.0,,97000.0,,80.0,75.0,80.0,1
2025-11-28 15:15:50,100.0,77.0,,97000.0,,80.0,75.0,80.0,1
2025-11-28 15:15:52,88.5,76.8,,100000.0,,80.0,75.0,80.0,1
2025-11-28 15:15:53,90.9,76.8,,100000.0,,80.0,75.0,80.0,1
2025-11-28 15:15:55,90.9,76.9,,100000.0,,80.0,75.0,80.0,1
2025-11-28 15:15:56,96.8,76.3,,100000.0,,80.0,75.0,80.0,1
2025-11-28 15:15:57,95.1,76.3,,100000.0,,80.0,75.0,80.0,1
2025-11-28 15:16:00,90.8,77.0,,100000.0,,80.0,75.0,80.0,1
2025-11-28 15:16:03,96.8,77.5,,97000.0,,80.0,75.0,80.0,1
2025-11-28 15:16:04,98.7,79.1,,97000.0,,80.0,75.0,80.0,1
2025-11-28 15:16:05,95.1,79.3,,97000.0,,80.0,75.0,80.0,1
2025-11-28 15:16:07,93.1,79.2,,97000.0,,80.0,75.0,80.0,1
2025-11-28 15:16:08,96.5,79.4,,97000.0,,80.0,75.0,80.0,1
2025-11-28 15:16:09,91.8,79.9,,97000.0,,80.0,75.0,80.0,1
2025-11-28 15:16:11,96.2,80.5,,97000.0,,80.0,75.0,80.0,1
2025-11-28 15:16:12,98.6,80.4,,97000.0,,80.0,75.0,80.0,1
2025-11-28 15:16:13,97.0,80.5,,97000.0,,80.0,75.0,80.0,1
2025-11-28 15:16:15,92.2,80.6,,97000.0,,80.0,75.0,80.0,1
2025-11-28 15:16:16,72.1,80.6,,97000.0,,80.0,75.0,80.0,1
2025-11-28 15:16:17,58.3,80.7,,97000.0,,80.0,75.0,80.0,1
2025-11-28 15:16:18,75.3,78.8,,97000.0,,80.0,75.0,80.0,1
2025-11-28 15:16:19,62.4,78.9,,97000.0,,80.0,75.0,80.0,1
2025-11-28 15:16:20,71.7,79.0,,97000.0,,80.0,75.0,80.0,1
2025-11-28 15:16:22,66.7,79.4,,97000.0,,80.0,75.0,80.0,1
2025-11-28 15:16:23,50.0,80.2,,97000.0,,80.0,75.0,80.0,1
2025-11-28 15:16:24,93.8,80.7,,97000.0,,80.0,75.0,80.0,1
2025-11-28 15:16:25,83.4,79.2,,97000.0,,80.0,75.0,80.0,1
2025-11-28 15:16:27,83.4,78.7,,97000.0,,80.0,75.0,80.0,1
2025-11-28 15:16:28,63.2,79.2,,97000.0,,80.0,75.0,80.0,1
2025-11-28 15:16:29,87.9,79.0,,97000.0,,80.0,75.0,80.0,1
