timestamp,cpu_percent,ram_percent,gpu_load,cpu_temp,gpu_temp,cpu_limit,gpu_load_limit,cpu_temp_limit,gpu_temp_limit,alert_any
2025-12-18 17:17:11,21.8,77.9,,56.0,,100.0,80.0,80.0,75.0,0
2025-12-18 17:17:12,13.0,77.9,,56.0,,100.0,80.0,80.0,75.0,0
2025-12-18 17:17:13,17.9,77.8,,56.0,,100.0,80.0,80.0,75.0,0
2025-12-18 17:17:14,13.2,77.8,,55.0,,100.0,80.0,80.0,75.0,0
2025-12-18 17:17:15,11.2,77.7,,55.0,,100.0,80.0,80.0,75.0,0
2025-12-18 17:17:16,15.4,77.4,,55.0,,100.0,80.0,80.0,75.0,0
2025-12-18 17:17:17,17.8,77.4,,56.0,,100.0,80.0,80.0,75.0,0
2025-12-18 17:17:18,12.7,77.5,,56.0,,100.0,80.0,80.0,75.0,0
2025-12-18 17:17:20,7.4,77.5,,56.0,,100.0,80.0,80.0,75.0,0
2025-12-18 17:17:21,7.1,77.4,,53.0,,100.0,80.0,80.0,75.0,0
2025-12-18 17:17:22,16.7,77.5,,53.0,,100.0,80.0,80.0,75.0,0
2025-12-18 17:17:23,15.5,77.4,,67.0,,100.0,80.0,80.0,75.0,0
2025-12-18 17:17:24,15.2,77.4,,67.0,,100.0,80.0,80.0,75.0,0
2025-12-18 17:17:25,11.0,77.3,,67.0,,100.0,80.0,80.0,75.0,0
2025-12-18 17:17:26,17.5,77.3,,53.0,,100.0,80.0,80.0,75.0,0
2025-12-18 17:17:27,35.5,78.0,,53.0,,100.0,80.0,80.0,75.0,0
2025-12-18 17:17:28,38.9,77.9,,53.0,,100.0,80.0,80.0,75.0,0
2025-12-18 17:17:29,23.7,77.8,,58.0,,100.0,80.0,80.0,75.0,0
2025-12-18 17:17:30,17.4,77.9,,58.0,,100.0,80.0,80.0,75.0,0
2025-12-18 17:17:32,16.5,77.8,,52.0,,100.0,80.0,80.0,75.0,0
2025-12-18 17:17:33,13.4,77.8,,52.0,,100.0,80.0,80.0,75.0,0
2025-12-18 17:17:34,11.0,77.8,,52.0,,100.0,80.0,80.0,75.0,0
2025-12-18 17:17:35,20.0,78.0,,51.0,,100.0,80.0,80.0,75.0,0
2025-12-18 17:17:36,11.4,77.9,,51.0,,100.0,80.0,80.0,75.0,0
2025-12-18 17:17:37,16.4,77.9,,51.0,,100.0,80.0,80.0,75.0,0
2025-12-18 17:17:38,11.4,77.8,,51.0,,100.0,80.0,80.0,75.0,0
2025-12-18 17:17:39,19.0,77.8,,51.0,,100.0,80.0,80.0,75.0,0
2025-12-18 17:17:40,10.4,77.8,,51.0,,100.0,80.0,80.0,75.0,0
2025-12-18 17:17:41,12.5,77.7,,53.0,,100.0,80.0,80.0,75.0,0
2025-12-18 17:17:43,11.4,77.8,,53.0,,100.0,80.0,80.0,75.0,0
2025-12-18 17:17:44,14.0,77.8,,54.0,,100.0,80.0,80.0,75.0,0
2025-12-18 17:17:45,13.6,77.9,,54.0,,100.0,80.0,80.0,75.0,0
2025-12-18 17:17:46,16.0,77.9,,54.0,,100.0,80.0,80.0,75.0,0
2025-12-18 17:17:47,12.8,77.8,,53.0,,100.0,80.0,80.0,75.0,0
2025-12-18 17:17:48,13.3,77.7,,53.0,,100.0,80.0,80.0,75.0,0
2025-12-18 17:17:49,14.9,77.7,,53.0,,100.0,80.0,80.0,75.0,0
2025-12-18 17:17:50,8.3,77.7,,51.0,,100.0,80.0,80.0,75.0,0
2025-12-18 17:17:51,14.8,77.7,,51.0,,100.0,80.0,80.0,75.0,0
2025-12-18 17:17:52,6.0,77.6,,51.0,,100.0,80.0,80.0,75.0,0
2025-12-18 17:17:53,6.3,77.7,,53.0,,100.0,80.0,80.0,75.0,0
2025-12-18 17:17:55,11.7,77.8,,53.0,,100.0,80.0,80.0,75.0,0
2025-12-18 17:17:56,22.0,77.8,,54.0,,100.0,80.0,80.0,75.0,0
2025-12-18 17:17:57,16.4,77.7,,54.0,,100.0,80.0,80.0,75.0,0
2025-12-18 17:17:58,19.1,77.3,,54.0,,100.0,80.0,80.0,75.0,0
2025-12-18 17:17:59,16.7,77.4,,54.0,,100.0,80.0,80.0,75.0,0
2025-12-18 17:18:00,28.1,77.5,,54.0,,100.0,80.0,80.0,75.0,0
2025-12-18 17:18:01,23.9,77.8,,54.0,,100.0,80.0,80.0,75.0,0
2025-12-18 17:18:02,25.3,78.0,,53.0,,100.0,80.0,80.0,75.0,0
2025-12-18 17:18:03,9.5,77.9,,53.0,,100.0,80.0,80.0,75.0,0
2025-12-18 17:18:04,14.3,77.9,,53.0,,100.0,80.0,80.0,75.0,0
2025-12-18 17:18:06,11.1,77.8,,54.0,,100.0,80.0,80.0,75.0,0
2025-12-18 17:18:07,11.6,78.0,,54.0,,100.0,80.0,80.0,75.0,0
2025-12-18 17:18:08,19.4,77.9,,61.0,,100.0,80.0,80.0,75.0,0
2025-12-18 17:18:09,21.2,77.9,,61.0,,100.0,80.0,80.0,75.0,0
